"ascension","death","spouses","reign","children",choice,outcome
9,15,0,6,0,4,0
41,77,1,0,0,4,0
30,33,1,2,1,2,0
37,42,1,5,0,2,0
30,43,0,13,0,0,-1
9,65,1,56,9,0,1
21,56,1,34,8,2,0
38,51,1,13,3,2,0
51,67,2,3,20,2,1
36,58,1,21,9,2,-1
22,81,1,59,15,3,1
10,33,2,22,0,3,-1
12,12,0,0,0,0,1
26,32,1,5,3,0,-1
57,67,2,10,1,1,-1
64,71,1,6,6,1,1
44,70,1,25,6,0,-1
38,59,1,20,10,0,1
25,69,0,44,0,2,-1
28,52,1,23,8,2,1
25,34,1,9,1,0,-1
18,81,1,63,9,0,1
38,65,2,0,3,0,-1
15,15,1,0,0,0,1
38,57,1,19,5,0,-1
33,68,2,34,19,0,1
14,64,1,50,13,0,1
59,68,1,9,6,0,-1
40,56,1,15,2,0,1
54,67,1,12,2,0,-1
30,54,1,24,3,0,-1
0,49,1,39,1,0,1
23,43,1,19,4,0,1
37,49,1,12,19,0,-1
31,41,1,9,0,0,0
31,48,2,17,5,0,0
31,67,2,35,4,0,-1
24,48,1,23,9,0,1
33,45,2,13,7,0,-1
18,40,1,21,10,0,1
43,76,1,33,9,0,-1
17,55,6,37,10,0,1
9,15,0,6,0,2,-1
41,77,1,0,0,2,1
30,33,1,2,1,0,1
37,42,1,5,0,0,-1
21,56,1,34,8,0,1
30,43,0,13,0,0,-1
51,67,2,3,20,4,1
9,65,1,56,9,4,-1
36,58,1,21,9,4,1
38,51,1,13,3,4,-1
22,81,1,59,15,4,1
57,67,2,10,1,4,-1
10,33,2,22,0,0,1
64,71,1,6,6,0,-1
12,12,0,0,0,1,-1
44,70,1,25,6,1,1
26,32,1,5,3,0,1
38,59,1,20,10,0,-1
14,64,1,50,13,4,1
25,69,0,44,0,4,-1
59,68,1,9,6,2,0
28,52,1,23,8,2,0
40,56,1,15,2,2,0
25,34,1,9,1,2,0
54,67,1,12,2,1,-1
18,81,1,63,9,1,1
28,52,1,23,8,0,1
54,67,1,12,2,0,-1
26,32,1,5,3,3,-1
31,48,2,17,5,3,1
14,64,1,50,13,0,1
31,67,2,35,4,0,-1
40,56,1,15,2,3,1
9,15,0,6,0,3,-1
33,45,2,13,7,3,1
31,41,1,9,0,3,-1
30,43,0,13,0,3,1
59,68,1,9,6,3,-1
30,33,1,2,1,3,-1
38,57,1,19,5,3,1
43,76,1,33,9,4,1
33,45,2,13,7,4,-1
24,48,1,23,9,2,0
44,70,1,25,6,2,0
38,51,1,13,3,3,-1
14,64,1,50,13,3,1
26,32,1,5,3,3,-1
22,81,1,59,15,3,1
12,12,0,0,0,1,-1
38,51,1,13,3,1,1
0,49,1,39,1,4,-1
38,59,1,20,10,4,1
38,65,2,0,3,3,-1
10,33,2,22,0,3,1
14,64,1,50,13,3,1
12,12,0,0,0,3,-1
23,43,1,19,4,3,1
12,12,0,0,0,3,-1
18,81,1,63,9,2,1
12,12,0,0,0,2,-1
21,56,1,34,8,3,1
59,68,1,9,6,3,-1
25,69,0,44,0,1,1
17,55,6,37,10,1,-1
37,42,1,5,0,1,-1
31,67,2,35,4,1,1
30,43,0,13,0,0,1
51,67,2,3,20,0,-1
25,69,0,44,0,3,1
23,43,1,19,4,3,-1
41,77,1,0,0,0,-1
15,15,1,0,0,0,1
18,40,1,21,10,1,-1
36,58,1,21,9,1,1
28,52,1,23,8,1,1
38,51,1,13,3,1,-1
44,70,1,25,6,4,-1
33,68,2,34,19,4,1
51,67,2,3,20,2,1
59,68,1,9,6,2,-1
37,49,1,12,19,4,1
26,32,1,5,3,4,-1
25,34,1,9,1,0,1
31,41,1,9,0,0,-1
24,48,1,23,9,3,-1
14,64,1,50,13,3,1
54,67,1,12,2,0,-1
12,12,0,0,0,0,1
38,59,1,20,10,1,-1
31,67,2,35,4,1,1
64,71,1,6,6,0,-1
30,33,1,2,1,0,1
18,81,1,63,9,0,-1
9,65,1,56,9,0,1
9,15,0,6,0,2,-1
37,42,1,5,0,2,1
38,65,2,0,3,0,1
40,56,1,15,2,0,-1
0,49,1,39,1,0,1
31,48,2,17,5,0,-1
38,57,1,19,5,2,0
30,54,1,24,3,2,0
43,76,1,33,9,1,1
17,55,6,37,10,1,-1
33,45,2,13,7,0,-1
10,33,2,22,0,0,1
30,43,0,13,0,0,1
57,67,2,10,1,0,-1
21,56,1,34,8,0,1
22,81,1,59,15,0,-1
25,69,0,44,0,1,-1
41,77,1,0,0,1,1
23,43,1,19,4,0,-1
15,15,1,0,0,0,1
28,52,1,23,8,0,-1
18,40,1,21,10,0,1
38,51,1,13,3,0,-1
36,58,1,21,9,0,1
51,67,2,3,20,1,-1
44,70,1,25,6,1,1
59,68,1,9,6,0,-1
33,68,2,34,19,0,1
37,49,1,12,19,0,-1
24,48,1,23,9,0,1
26,32,1,5,3,0,-1
14,64,1,50,13,0,1
25,34,1,9,1,2,0
54,67,1,12,2,2,0
31,41,1,9,0,0,-1
12,12,0,0,0,0,1
38,65,2,0,3,3,-1
38,59,1,20,10,3,1
40,56,1,15,2,1,-1
31,67,2,35,4,1,1
0,49,1,39,1,1,-1
64,71,1,6,6,1,1
31,48,2,17,5,0,-1
30,33,1,2,1,0,1
38,57,1,19,5,1,-1
18,81,1,63,9,1,1
43,76,1,33,9,0,-1
9,65,1,56,9,0,1
17,55,6,37,10,0,-1
9,15,0,6,0,0,1
30,43,0,13,0,2,-1
37,42,1,5,0,2,1
57,67,2,10,1,3,-1
30,54,1,24,3,3,1
21,56,1,34,8,3,1
33,45,2,13,7,3,-1
12,12,0,0,0,0,1
30,43,0,13,0,0,-1
10,33,2,22,0,0,1
51,67,2,3,20,0,-1
38,51,1,13,3,2,0
41,77,1,0,0,2,0
24,48,1,23,9,0,-1
21,56,1,34,8,0,1
36,58,1,21,9,1,-1
64,71,1,6,6,1,1
38,57,1,19,5,0,-1
25,34,1,9,1,0,1
15,15,1,0,0,1,-1
43,76,1,33,9,1,1
26,32,1,5,3,0,-1
0,49,1,39,1,0,1
33,45,2,13,7,3,-1
31,48,2,17,5,3,1
31,67,2,35,4,1,1
30,54,1,24,3,1,-1
59,68,1,9,6,3,-1
14,64,1,50,13,3,1
30,33,1,2,1,2,0
31,41,1,9,0,2,0
38,65,2,0,3,1,-1
44,70,1,25,6,1,1
54,67,1,12,2,1,1
28,52,1,23,8,1,-1
37,49,1,12,19,4,1
18,40,1,21,10,4,-1
37,42,1,5,0,0,1
38,59,1,20,10,0,-1
57,67,2,10,1,2,1
22,81,1,59,15,2,-1
40,56,1,15,2,0,-1
17,55,6,37,10,0,1
9,65,1,56,9,0,1
33,68,2,34,19,0,-1
9,15,0,6,0,0,1
18,81,1,63,9,0,-1
23,43,1,19,4,0,1
25,69,0,44,0,0,-1
12,12,0,0,0,0,1
41,77,1,0,0,0,-1
30,43,0,13,0,0,-1
24,48,1,23,9,0,1
10,33,2,22,0,0,1
21,56,1,34,8,0,-1
51,67,2,3,20,4,1
36,58,1,21,9,4,-1
40,56,1,15,2,2,0
64,71,1,6,6,2,0
25,69,0,44,0,4,-1
0,49,1,39,1,4,1
43,76,1,33,9,3,1
38,57,1,19,5,3,-1
